Student ID,Age,Gender,Year,GPA,Brain Dominance,Time Spent on Video (min),Avg Video Score,Video Completion Rate (%),Time Spent on Audio (min),Avg Audio Score,Audio Completion Rate (%),Time Spent on Article (min),Avg Article Score,Article Completion Rate (%),Time Spent on Interactive (min),Avg Interactive Score,Interactive Completion Rate (%),Progress (%),Total Scroll Depth on Articles (%),Visual,Aural,Read/Write,Kinesthetic,Primary VARK
518,22,M,4th,2.58,Balanced,54,58,61,69,65,34,42,66,50,53,78,55,71,70,24.85,24.5,23.26,27.39,Kinesthetic
519,18,F,3rd,2.97,Balanced,64,73,47,40,46,43,33,58,59,39,64,43,96,78,30.22,20.94,24.56,24.27,Visual
520,23,M,1st,3.36,Balanced,60,74,66,50,65,31,47,57,54,61,75,40,57,36,29.16,21.77,22.98,26.09,Visual
521,19,F,1st,2.71,Left,51,43,43,30,58,33,59,65,58,34,56,53,79,50,23.03,21.36,31,24.61,Read/Write
522,23,F,1st,3.34,Left,57,73,68,66,58,54,91,82,56,63,78,53,63,53,24.81,22.02,28.61,24.55,Read/Write
523,21,F,4th,3.34,Right,88,74,64,58,69,63,39,49,44,29,59,44,67,78,32.82,27.89,19.42,19.86,Visual
524,25,M,1st,2.76,Right,56,59,42,27,53,46,55,76,64,76,72,69,72,39,22.6,18.38,28.19,30.83,Kinesthetic
525,24,M,3rd,3.92,Right,48,54,38,26,52,40,72,82,54,42,50,32,72,85,23.61,20.22,35.16,21.02,Visual
526,23,M,1st,3.21,Left,48,62,41,52,55,44,56,51,52,70,81,56,87,47,22.86,22.55,23.44,31.16,Kinesthetic
527,22,F,1st,3.5,Right,50,66,46,61,72,48,86,75,63,75,72,64,96,68,21.08,23.48,28.52,26.92,Read/Write
528,23,M,3rd,2.63,Right,54,57,31,68,73,76,68,65,52,63,71,44,64,75,19.86,29.77,25.49,24.88,Aural
529,19,M,4th,3.63,Left,70,66,59,66,61,52,18,48,39,53,74,62,52,99,28.89,26.54,16.11,28.45,Visual
530,19,M,2nd,3.7,Balanced,70,77,61,59,54,46,40,61,49,59,66,65,93,45,29.47,22.32,21.48,26.73,Visual
531,19,F,3rd,3.79,Right,39,56,28,44,63,50,42,64,47,64,73,55,69,55,19.94,25.06,24.54,30.46,Kinesthetic
532,23,M,4th,3.83,Left,68,63,52,55,44,51,49,73,74,64,66,52,57,33,25.73,20.77,27.78,25.73,Read/Write
533,22,M,4th,3.97,Left,66,69,43,51,45,45,60,66,55,55,86,65,54,83,25.29,19.63,25.55,29.53,Kinesthetic
534,19,F,1st,3.2,Balanced,41,69,43,44,75,58,24,57,66,43,55,33,99,82,25.38,29.13,23.94,21.54,Aural
535,20,F,3rd,3.12,Right,47,57,35,67,69,51,51,61,46,72,67,56,100,55,20.69,27.5,23.35,28.46,Kinesthetic
536,18,M,4th,2.67,Left,42,47,37,67,66,59,79,71,63,45,55,41,79,46,18.85,28.47,31.49,21.2,Read/Write
537,25,M,2nd,2.35,Right,52,58,35,65,53,32,31,47,55,56,64,42,86,93,24.75,25.25,22.39,27.61,Kinesthetic
538,22,M,3rd,3.97,Balanced,40,77,67,46,55,48,43,61,43,50,62,39,72,92,29.28,23.37,23.37,23.98,Visual
539,24,F,1st,3.77,Right,77,76,58,46,45,36,41,59,39,63,68,61,72,67,31.44,18.89,21.11,28.56,Visual
540,25,M,3rd,2.82,Balanced,44,57,41,57,76,51,49,78,52,35,60,44,78,66,21.92,28.51,27.92,21.65,Aural
541,24,M,2nd,2.74,Balanced,51,64,51,62,72,54,72,75,52,72,70,57,64,56,22.15,25.07,26.49,26.29,Read/Write
542,24,M,4th,3.45,Left,51,41,22,49,63,54,62,49,42,54,61,47,82,66,19.16,28.06,25.41,27.36,Aural
543,23,F,1st,2.17,Balanced,39,47,38,46,49,41,84,71,57,47,56,54,78,48,19.86,21.66,33.51,24.98,Read/Write
544,19,M,2nd,3.11,Balanced,62,71,66,70,84,38,30,47,30,75,66,39,89,84,29.02,28.67,15.99,26.32,Visual
545,25,F,2nd,2.42,Right,57,57,31,62,84,54,41,62,49,24,47,52,66,83,23.32,32.42,24.55,19.72,Aural
546,18,F,3rd,2.65,Right,60,73,43,71,73,57,40,50,15,45,59,36,87,34,28.34,31.87,17.21,22.58,Aural
547,20,M,1st,3.16,Left,67,75,55,56,69,61,63,62,68,39,61,54,65,40,27.11,25.52,26.09,21.29,Visual
548,21,M,3rd,2.36,Right,77,71,61,36,53,51,72,78,55,37,58,48,85,39,29.69,20.12,29.48,20.71,Visual
549,18,F,1st,2.6,Balanced,69,50,41,66,75,42,68,68,52,44,54,42,67,52,23.45,27.61,27.96,20.97,Read/Write
550,20,M,2nd,3.46,Left,59,75,73,68,63,46,64,62,40,36,51,28,64,76,30.99,26.45,24.93,17.63,Visual
551,18,M,2nd,2.6,Balanced,47,76,51,54,65,44,49,50,46,54,44,33,65,77,28.83,26.71,23.38,21.07,Visual
552,18,M,4th,3.25,Balanced,47,45,54,65,74,51,43,57,37,67,87,64,51,40,20.68,27.57,20.03,31.72,Kinesthetic
553,19,F,2nd,3.86,Left,100,80,58,65,76,64,62,59,38,54,71,53,91,83,30.24,26.31,20.41,23.04,Visual
554,22,M,3rd,2.37,Right,49,68,72,45,52,54,52,69,42,47,58,27,52,93,29.51,23.47,25.93,21.1,Visual
555,24,M,3rd,3.26,Right,60,54,61,56,65,22,37,53,37,65,76,55,78,56,26.67,22.75,19.99,30.58,Kinesthetic
556,20,M,4th,2.96,Left,64,70,55,53,68,60,46,51,48,65,77,38,72,40,27.09,25.99,20.67,26.24,Visual
557,21,M,2nd,3.57,Balanced,52,56,37,55,59,39,60,85,50,51,51,46,69,74,22.59,23.83,30.82,22.77,Read/Write
558,25,F,2nd,3.74,Balanced,81,68,63,65,64,59,31,43,36,72,74,50,75,90,29.74,26.53,15.76,27.97,Visual
559,24,M,2nd,2.04,Balanced,37,47,19,60,62,44,56,64,44,47,69,65,94,46,17.08,26.87,26.68,29.37,Kinesthetic
560,20,F,3rd,2.86,Balanced,68,68,37,59,67,56,76,83,53,49,59,52,89,52,23.88,24.94,29.25,21.93,Read/Write
561,24,F,3rd,3.43,Balanced,49,53,52,50,57,30,44,47,36,87,75,58,100,33,24,21.81,19.94,34.25,Kinesthetic
562,23,F,4th,2.29,Balanced,18,54,19,82,75,76,38,50,16,53,66,62,80,99,15.78,37.36,17.47,29.39,Aural
563,21,F,1st,3.18,Left,41,51,69,65,80,60,54,58,64,49,57,30,83,68,23.42,30.48,25.7,20.39,Aural
564,21,F,3rd,2.26,Left,56,48,21,68,74,45,67,70,67,45,74,56,92,44,18.08,27.15,29.16,25.61,Read/Write
565,19,M,1st,3.32,Balanced,65,65,45,54,55,42,75,80,40,61,64,42,97,65,25.34,21.82,28.57,24.27,Read/Write
566,23,M,3rd,2.73,Balanced,73,75,53,50,65,57,54,71,43,50,56,40,95,33,29.12,24.96,24.7,21.22,Visual
567,25,F,1st,2.58,Balanced,59,56,33,38,51,37,60,69,47,43,57,33,64,53,25.23,21.64,30.12,23.01,Read/Write
568,19,M,4th,3.3,Left,86,70,70,42,46,37,64,76,58,53,62,34,68,72,31.86,17.93,28.53,21.68,Visual
569,18,F,4th,2.33,Right,42,56,47,61,83,47,57,61,41,62,61,45,100,71,21.82,29.16,23.91,25.11,Visual
570,19,M,3rd,3.03,Balanced,70,65,44,80,63,61,31,47,32,49,62,54,100,76,27.23,30.53,17.05,25.19,Aural
571,24,F,4th,2.49,Balanced,50,49,30,48,69,56,39,54,58,30,55,42,73,79,22.17,29.89,25.78,22.17,Aural
572,18,M,2nd,3.92,Right,52,65,39,53,52,44,69,77,56,69,72,62,77,50,22.25,20.83,28.51,28.42,Read/Write
573,25,M,3rd,2.68,Right,44,50,34,72,68,59,73,78,50,61,73,74,69,97,17.52,26.85,27.49,28.14,Kinesthetic
574,22,F,4th,3.48,Right,49,41,26,84,79,56,70,70,39,23,53,37,94,62,18.31,34.65,28.58,18.46,Aural
575,18,M,4th,2.92,Left,45,70,45,69,68,61,47,65,61,40,48,43,93,37,24.59,29.59,26.11,19.71,Aural
576,19,M,3rd,3.62,Left,62,67,55,50,69,67,43,51,33,55,76,52,94,42,26.88,27.23,18.76,27.14,Aural
577,22,M,3rd,3.98,Right,37,59,46,57,44,41,71,50,57,51,54,64,95,79,23.1,22.38,27.81,26.71,Read/Write
578,20,M,2nd,3.56,Balanced,48,67,40,50,50,40,36,49,56,48,65,45,84,80,26.43,23.35,23.45,26.78,Kinesthetic
579,25,F,3rd,3.53,Right,59,64,39,57,66,52,68,71,63,59,68,39,79,39,23.07,24.79,28.4,23.74,Read/Write
580,18,M,4th,2.14,Right,69,67,60,60,67,43,60,68,59,53,65,81,88,58,25.96,22.87,24.93,26.24,Kinesthetic
581,21,F,2nd,2.99,Balanced,46,79,64,74,80,80,49,46,29,64,69,54,55,68,26.09,31.58,16.88,25.44,Aural
582,19,F,4th,2.47,Balanced,49,73,65,57,60,42,66,60,48,56,72,46,79,60,27.01,22.88,24.8,25.31,Visual
583,22,F,4th,2.1,Balanced,25,61,35,85,68,51,57,73,49,53,65,44,84,72,18.72,30.02,26.93,24.33,Aural
584,18,F,2nd,3.08,Right,45,54,40,52,62,40,57,59,50,59,76,55,90,81,21.43,23.84,25.34,29.39,Kinesthetic
585,21,F,2nd,3.56,Right,65,71,42,57,63,35,77,58,45,74,78,57,63,55,24.84,21.67,24.55,28.94,Kinesthetic
586,20,M,1st,3.75,Right,60,67,44,59,43,35,43,53,27,68,65,54,61,74,27.86,21.81,20.27,30.07,Kinesthetic
587,21,M,2nd,3.49,Right,64,64,43,40,60,38,33,52,29,51,68,57,71,63,28.27,23.22,19.3,29.2,Kinesthetic
588,22,M,1st,2.57,Left,46,51,47,47,51,47,30,49,51,71,69,56,98,43,23.39,23.54,21.26,31.82,Kinesthetic
589,21,F,1st,3.15,Right,66,61,53,64,50,46,38,58,41,53,54,53,67,47,28.16,24.84,21.98,25.02,Visual
590,18,F,1st,2.68,Left,40,58,41,60,65,53,47,55,30,47,79,46,76,38,22.41,28.25,21.27,28.07,Visual
591,24,M,3rd,2.17,Balanced,48,70,56,64,55,37,48,66,58,14,53,37,85,40,28.71,25.36,28.23,17.7,Visual
592,21,F,4th,3.77,Left,29,60,37,54,68,32,55,68,55,46,57,41,74,78,21.27,25.74,29.24,23.75,Read/Write
593,21,F,4th,2.7,Left,57,51,16,57,67,57,53,66,53,60,58,43,95,59,19.62,28.29,26.99,25.09,Aural
594,19,M,2nd,2.33,Balanced,57,57,36,46,54,50,48,67,62,53,64,47,97,67,23.42,23.28,27.62,25.68,Read/Write
595,21,M,3rd,2.5,Left,55,63,65,58,67,58,77,75,61,43,58,49,56,75,24.98,25.14,29.14,20.73,Read/Write
596,20,F,2nd,2.52,Left,44,51,55,46,53,47,48,64,57,51,66,67,94,92,22.97,22.51,26.18,28.34,Kinesthetic
597,19,F,4th,2.66,Right,53,69,55,71,65,50,56,59,47,56,52,47,70,62,26.26,27.26,23.85,22.63,Visual
598,18,F,3rd,3.79,Left,72,67,36,51,71,33,42,52,39,65,74,49,55,90,26.7,24.18,20.34,28.78,Kinesthetic
599,19,M,4th,2.07,Balanced,48,69,57,58,62,44,73,71,79,49,61,49,58,73,24.39,22.86,30.54,22.2,Read/Write
600,23,M,3rd,3.29,Balanced,33,52,35,61,66,53,74,78,65,76,66,53,87,52,17.18,25.27,30.4,27.15,Read/Write
601,18,F,4th,3.92,Balanced,51,66,48,72,78,53,60,84,59,42,59,45,78,48,23.01,28.18,28.42,20.39,Read/Write
602,23,M,1st,3.54,Left,44,45,32,45,47,30,65,77,51,45,54,38,53,97,21.01,21.27,33.78,23.94,Read/Write
603,23,M,2nd,3.61,Balanced,51,62,52,77,62,46,50,67,65,69,56,35,90,75,23.98,26.56,26.39,23.07,Aural
604,23,F,2nd,3.09,Left,67,78,62,51,48,26,59,58,43,58,64,33,78,34,31.93,19.32,24.58,24.17,Visual
605,18,M,2nd,3.6,Right,69,67,60,52,73,63,58,76,51,29,52,46,50,55,27.8,27.04,26.78,18.38,Visual
606,25,M,4th,3.52,Balanced,46,46,42,47,67,57,47,68,42,55,54,40,85,37,21.66,28.05,26.06,24.23,Aural
607,23,M,3rd,3.88,Right,76,73,36,61,56,43,54,54,32,95,68,48,89,67,26.85,22.92,20.27,29.97,Kinesthetic
608,23,F,3rd,3.82,Right,31,52,29,44,51,52,63,83,53,56,49,28,59,39,19.32,24.5,33.86,22.31,Read/Write
609,24,M,2nd,2.19,Right,63,53,33,44,52,26,46,72,36,47,63,61,53,89,24.65,20.61,26.33,28.4,Kinesthetic
610,20,F,3rd,2.31,Left,46,71,43,69,75,75,63,60,54,55,64,32,76,71,23.04,30.61,24.72,21.62,Aural
611,25,M,4th,2.43,Left,59,72,38,54,71,52,54,56,35,62,62,55,73,82,25.5,26.51,21.62,26.38,Aural
612,25,M,2nd,3.94,Right,61,62,42,62,58,72,50,56,53,52,53,39,70,34,25.22,28.7,24.13,21.96,Aural
613,24,M,4th,2.96,Balanced,41,77,62,38,73,67,70,63,62,44,73,54,81,31,25.1,24.69,26.36,23.84,Read/Write
614,19,F,1st,3.61,Balanced,53,64,63,39,47,25,68,67,57,82,68,43,92,32,26.56,16.71,28.28,28.45,Kinesthetic
615,24,F,2nd,2.59,Right,59,60,50,42,44,33,52,57,65,27,50,27,60,96,29.7,21.01,30.33,18.96,Read/Write
616,21,M,2nd,3.28,Left,25,62,26,70,80,60,47,65,44,67,72,58,69,80,17.38,30.78,23.1,28.74,Aural
617,20,M,2nd,2.83,Balanced,42,48,31,67,83,55,51,58,65,62,67,68,70,85,17.51,29.74,24.71,28.04,Aural
618,23,M,3rd,3.12,Balanced,62,70,34,59,72,51,59,60,38,59,72,50,70,80,24.36,26.5,22.77,26.37,Aural
619,23,M,3rd,2.58,Left,50,52,29,45,72,57,59,61,36,36,53,26,78,36,22.63,30.21,26.91,20.24,Aural
620,22,M,2nd,2.6,Right,53,48,52,76,51,57,37,74,62,72,60,55,76,35,21.82,25.95,25.52,26.72,Kinesthetic
621,22,M,1st,3.09,Right,68,61,52,41,62,46,63,63,32,67,65,58,72,85,26.43,22.28,23.5,27.79,Kinesthetic
622,22,F,2nd,2.46,Balanced,47,69,45,53,74,72,51,67,49,42,54,11,99,38,25.48,30.98,26.22,17.31,Aural
623,24,M,2nd,2.24,Right,55,63,46,45,48,34,55,70,46,54,64,51,68,63,25.96,20.07,27.27,26.71,Read/Write
624,19,M,3rd,3.68,Balanced,55,75,70,68,70,28,50,61,46,63,57,31,55,58,29.54,24.86,23.28,22.32,Visual
625,18,M,2nd,2.88,Balanced,69,75,44,38,64,46,48,54,32,47,50,46,60,34,30.69,24.4,21.9,23.01,Visual
626,19,M,2nd,3.11,Right,56,63,56,38,54,48,52,72,63,47,60,47,80,51,26.52,21.38,28.55,23.55,Read/Write
627,22,M,3rd,2.84,Left,60,78,55,81,69,53,45,50,34,51,52,42,67,48,29.08,30.01,19.34,21.56,Aural
628,21,F,3rd,3.61,Left,47,52,35,45,47,28,34,56,37,51,63,56,99,75,24.27,21.75,23.36,30.63,Kinesthetic
629,20,F,2nd,2.9,Left,76,71,57,59,47,52,51,47,40,50,50,44,71,85,31.81,24.27,21.47,22.45,Visual
630,18,F,2nd,3.9,Balanced,53,58,31,89,73,68,59,71,52,64,63,34,52,81,20.08,31.66,25.6,22.66,Aural
631,23,M,1st,3.73,Left,63,80,64,78,63,59,57,64,68,70,77,38,100,93,26.68,25.24,24.02,24.06,Visual
632,20,M,1st,2.47,Left,49,79,55,56,54,47,50,59,48,57,64,46,82,95,27.94,23.35,23.58,25.13,Visual
633,20,M,1st,3.19,Balanced,37,48,24,52,48,21,48,61,49,61,68,50,95,69,19.47,21.34,27.78,31.41,Kinesthetic
634,23,F,2nd,3.28,Balanced,62,74,31,41,60,35,72,59,53,65,69,64,94,92,24.82,20.2,26.37,28.61,Kinesthetic
635,22,F,3rd,2.74,Left,69,64,43,72,74,47,61,76,40,24,55,34,79,58,26.36,29.07,27.03,17.54,Visual
636,23,F,2nd,3.74,Left,46,66,53,38,44,40,69,79,50,45,71,47,66,94,25.45,18.6,30.54,25.41,Read/Write
637,22,F,4th,3.69,Left,66,65,39,40,57,49,55,46,45,53,67,67,51,70,26.35,22.69,22.18,28.78,Kinesthetic
638,24,M,2nd,2.9,Left,69,69,54,39,49,39,38,58,32,74,72,31,99,53,30.42,20.28,20.85,28.44,Visual
639,21,M,1st,3.31,Left,70,65,40,47,47,59,64,68,35,37,67,45,74,93,27.08,23.22,26.11,23.59,Visual
640,24,F,4th,3.67,Balanced,67,55,43,67,86,65,77,64,39,51,66,34,99,57,22.79,30.67,25.03,21.51,Aural
641,18,F,2nd,2.97,Left,53,61,53,31,59,36,48,37,46,53,45,53,88,48,29.16,22.68,22.31,25.84,Visual
642,19,F,1st,2.86,Balanced,68,60,54,59,65,53,58,70,44,57,74,51,52,35,25.17,24.75,24.34,25.75,Kinesthetic
643,25,M,1st,2.09,Balanced,48,72,42,60,56,53,31,62,49,51,46,52,72,90,26.55,26.78,23.22,23.45,Aural
644,24,M,3rd,3.51,Right,56,56,51,45,45,34,78,72,73,55,64,63,96,67,23.56,18.03,32.04,26.37,Read/Write
645,22,F,2nd,2.81,Right,44,51,38,46,62,44,61,83,58,52,65,53,90,100,20.16,23.21,30.87,25.76,Read/Write
646,23,F,2nd,3.85,Balanced,36,42,19,65,58,59,53,73,48,63,70,64,85,41,15.18,27.54,27.13,30.14,Kinesthetic
647,20,F,1st,3.84,Balanced,71,66,57,51,74,58,35,72,52,67,79,56,80,54,25.87,24.87,21.92,27.35,Kinesthetic
648,23,F,3rd,3.79,Balanced,59,50,33,79,78,57,67,64,71,63,64,62,83,36,19.06,28.83,26.83,25.27,Aural
649,20,M,3rd,3.79,Balanced,51,55,36,49,64,57,30,51,22,41,56,32,55,100,25.89,30.89,19.38,23.84,Aural
650,24,F,2nd,2.37,Right,34,52,29,47,50,40,40,56,47,49,60,46,93,61,21.25,24.68,25.96,28.1,Kinesthetic
651,24,F,3rd,2.89,Left,76,85,79,51,51,47,49,52,35,29,51,41,86,70,36.98,22.88,21.13,19.02,Visual
652,21,M,1st,3.63,Right,44,64,54,55,60,29,49,70,35,50,72,48,70,84,25.51,22.82,24.68,26.99,Kinesthetic
653,24,F,1st,2.11,Right,63,60,60,40,58,59,67,75,61,76,80,48,69,52,24.22,21.04,27.21,27.53,Kinesthetic
654,24,M,2nd,2.87,Right,36,57,39,49,60,65,57,52,38,33,61,24,68,38,23.31,29.95,25.37,21.36,Aural
655,18,F,1st,3.66,Left,47,56,44,76,73,52,50,58,44,50,69,43,81,82,22.17,30.15,22.93,24.75,Visual
656,20,M,4th,3.14,Left,66,65,49,72,75,44,52,52,27,47,65,35,75,82,27.45,29.4,20.19,22.96,Aural
657,18,F,4th,2.57,Right,55,59,49,74,80,63,56,53,30,73,78,53,78,35,22.47,29.97,19.27,28.29,Aural
658,18,F,2nd,2.22,Right,76,76,50,66,77,48,58,56,47,53,56,39,72,81,28.76,27.41,22.73,21.09,Visual
659,22,M,1st,2.46,Balanced,62,57,62,69,71,42,75,72,49,49,70,42,72,53,24.69,25.39,27.16,22.76,Read/Write
660,20,M,2nd,2.64,Right,26,57,42,70,77,57,49,62,36,70,70,51,57,63,19.06,30.39,22.19,28.36,Aural
661,22,F,1st,2.18,Left,61,52,35,41,54,44,59,70,32,32,58,30,77,91,25.59,24.3,28.53,21.57,Read/Write
662,18,F,4th,3.45,Balanced,63,57,42,39,46,42,33,58,65,58,58,72,63,61,25.64,20.16,24.83,29.37,Visual
663,24,F,3rd,3.64,Left,74,72,54,29,42,26,52,70,58,69,75,62,51,45,29.12,14.43,26.43,30.03,Kinesthetic
664,19,F,3rd,3.94,Balanced,60,70,63,54,86,52,64,59,44,54,64,52,84,69,26.54,27.08,22.9,23.48,Aural
665,19,M,1st,2,Balanced,48,46,41,37,46,40,52,71,47,78,76,52,53,30,21.06,19.38,27.14,32.41,Kinesthetic
666,22,F,3rd,3.76,Right,75,79,55,67,63,54,55,80,57,84,81,45,76,70,26.26,22.88,24.4,26.45,Kinesthetic
667,20,M,3rd,3.63,Balanced,81,81,65,69,74,46,71,81,59,73,77,63,94,35,26.9,22.63,25.2,25.27,Visual
668,19,M,1st,2.99,Right,75,75,45,56,71,47,52,51,41,57,56,43,61,33,29.2,26.24,21.37,23.19,Visual
669,18,M,1st,2.89,Right,36,52,42,50,65,43,73,83,57,56,62,42,76,86,19.69,24.01,32.16,24.14,Read/Write
670,25,F,4th,3.74,Left,65,56,40,46,60,38,31,51,44,62,56,35,90,31,27.29,24.91,21.72,26.08,Visual
671,21,M,3rd,3.79,Balanced,57,65,47,69,68,49,61,57,42,65,63,6,62,82,26,28.45,24.41,21.14,Aural
672,20,F,1st,3.22,Balanced,71,60,43,64,78,49,42,64,52,53,57,60,80,79,24.89,27.84,23.01,24.25,Aural
673,23,F,3rd,3.44,Left,54,69,63,64,76,61,52,50,37,74,82,56,70,55,25.17,27.26,18.75,28.82,Kinesthetic
674,18,M,4th,3.05,Right,46,69,46,36,54,29,70,74,61,41,69,50,74,99,25.08,18.67,31.3,24.94,Read/Write
675,22,F,3rd,2.96,Balanced,40,48,31,66,65,57,72,56,49,49,51,54,69,73,18.98,29.48,27.51,24.04,Aural
676,21,M,2nd,2.31,Right,54,45,30,72,80,39,34,49,35,49,46,18,91,46,23.06,34.86,21.52,20.56,Aural
677,21,M,1st,3.06,Right,43,55,34,37,54,46,46,44,51,64,73,62,76,89,21.97,22.65,22.75,32.64,Kinesthetic
678,20,F,4th,2.48,Right,55,52,23,72,71,58,83,67,43,20,53,30,66,85,20.81,31.73,30.41,17.04,Aural
679,20,M,3rd,3.9,Right,67,72,61,64,71,51,60,73,47,50,85,58,94,89,26.07,24.4,23.78,25.76,Visual
680,18,M,3rd,2.3,Balanced,53,71,36,35,54,36,73,88,59,50,60,49,71,52,24.33,18.94,33.02,23.71,Read/Write
681,19,M,1st,3.7,Right,58,79,67,61,68,59,64,70,52,35,57,64,54,90,27.91,25.53,25.36,21.2,Visual
682,20,F,2nd,3.41,Balanced,47,69,69,82,67,47,78,67,54,82,73,73,77,37,23.11,24.26,24.59,28.04,Kinesthetic
683,25,F,1st,3.23,Left,70,82,60,56,70,49,72,72,49,63,72,50,90,59,27.71,22.96,25.13,24.2,Visual
684,24,F,4th,3.33,Balanced,52,61,52,31,51,49,70,48,36,62,63,48,56,44,26.58,21.22,24.38,27.82,Kinesthetic
685,18,F,3rd,3.4,Balanced,57,56,39,53,69,46,64,72,54,54,63,35,56,37,22.8,25.51,28.58,23.11,Read/Write
686,24,M,2nd,3.01,Right,76,79,44,76,67,60,49,45,26,53,66,48,91,36,29.09,29.09,17.43,24.4,Visual
687,20,M,2nd,2.77,Left,61,61,61,64,67,65,38,39,41,72,69,57,56,55,26.28,28.22,16.93,28.57,Visual
688,23,F,3rd,3.26,Right,60,60,45,71,76,62,46,64,46,47,58,55,85,44,23.84,30.2,22.85,23.11,Aural
689,24,M,3rd,2.87,Left,61,60,46,46,56,53,70,57,39,59,53,21,70,75,26.85,24.94,26.57,21.64,Visual
690,20,F,4th,2.76,Balanced,46,55,42,56,68,52,56,66,32,43,51,38,78,71,23.55,29,25.69,21.75,Visual
691,22,M,1st,2.25,Right,54,60,61,50,53,45,44,58,35,59,63,36,50,75,28.02,23.8,22.46,25.72,Visual
692,18,F,1st,2.54,Left,42,54,26,52,72,57,39,48,42,41,48,43,98,60,21.94,32.13,22.73,23.2,Aural
693,24,F,1st,2.77,Left,45,68,57,32,47,28,43,57,35,62,59,45,87,81,29.41,18.73,23.51,28.35,Visual
694,19,M,3rd,2.16,Left,62,59,40,59,70,60,69,64,70,78,60,47,84,35,21.97,25.82,27.28,24.93,Read/Write
695,25,F,3rd,2.68,Balanced,73,77,57,84,73,46,50,52,45,86,73,45,85,82,27.29,26.66,19.27,26.78,Visual
696,25,F,4th,2.76,Balanced,75,86,64,75,70,48,45,69,43,71,68,47,89,85,29.54,25.19,20.96,24.3,Visual
697,20,M,1st,3.75,Balanced,91,65,66,37,64,44,42,52,56,41,54,40,61,98,33.36,22.77,22.91,20.95,Visual
698,25,M,3rd,3.1,Left,40,57,46,66,73,46,45,50,50,61,63,54,63,60,22.13,28.6,22.09,27.19,Aural
699,22,F,3rd,3.84,Balanced,58,71,59,46,69,36,46,67,49,45,63,43,90,30,28.53,23.45,24.84,23.18,Visual
700,20,M,2nd,2.6,Right,50,72,29,71,76,45,67,63,55,75,69,50,100,62,21.46,26.66,25.27,26.61,Aural
701,22,F,2nd,2.92,Right,74,77,47,41,54,26,63,70,54,56,69,47,66,64,29.12,18.1,27.39,25.39,Visual
702,19,M,4th,2.68,Balanced,28,49,21,39,61,35,81,67,45,51,66,51,54,55,16.94,23.01,31.9,28.15,Read/Write
703,19,M,3rd,2.85,Right,76,83,62,61,53,31,73,74,52,52,50,36,83,76,31.49,20.6,28.32,19.59,Visual
704,20,F,2nd,3.17,Left,59,71,47,64,48,49,54,59,44,52,51,54,50,83,27.55,24.3,24.26,23.89,Visual
705,20,M,2nd,3.47,Balanced,69,70,53,61,56,44,37,51,47,55,75,25,80,61,29.62,24.71,20.91,24.76,Visual
706,22,M,1st,3.15,Left,51,57,29,86,73,55,70,69,56,88,67,33,100,65,18.96,28.97,26.5,25.57,Aural
707,18,F,4th,2.34,Left,51,76,46,62,70,60,41,52,31,55,68,33,90,74,27.03,29.35,19.26,24.35,Aural
708,22,F,4th,3.85,Right,57,44,18,45,79,35,44,56,23,49,52,25,92,82,22.13,30.68,23.45,23.73,Aural
709,23,F,1st,3.85,Balanced,69,67,53,42,45,46,48,63,50,46,48,47,54,36,30.26,21.19,26.06,22.48,Visual
710,24,F,4th,3.67,Left,69,79,49,58,73,56,62,68,48,55,56,36,97,64,27.88,26.38,25.05,20.68,Visual
711,21,F,3rd,3.12,Left,55,69,51,69,62,55,43,46,50,45,76,64,73,57,25.74,26.86,20.06,27.34,Kinesthetic
712,22,M,3rd,2.2,Left,71,72,46,55,55,53,46,70,52,61,57,38,70,77,28,23.84,25.15,23.01,Visual
713,23,F,2nd,2.01,Balanced,49,61,29,55,67,41,43,44,33,57,50,48,86,54,24.48,28.47,20.69,26.37,Aural
714,19,F,2nd,2.78,Left,64,68,56,70,68,60,67,71,57,69,74,56,93,75,24.11,25.26,25.03,25.6,Kinesthetic
715,25,F,3rd,3.8,Left,54,43,42,58,45,52,51,53,57,72,74,59,50,93,20.96,23.23,24.42,31.39,Kinesthetic
716,21,F,2nd,3.97,Right,60,67,63,71,84,65,52,53,21,45,59,33,69,65,27.91,32.6,18.89,20.6,Aural
717,21,M,1st,3.15,Balanced,60,66,46,55,60,51,86,62,48,47,45,44,94,86,25.95,24.88,28.98,20.2,Read/Write
718,25,F,3rd,3.41,Left,82,71,48,45,49,39,67,73,56,72,61,66,99,95,27.61,18.35,27.08,26.96,Visual
719,21,M,1st,2.97,Balanced,48,51,52,70,47,43,46,69,65,65,65,57,86,47,22.24,23.26,26.88,27.63,Kinesthetic
720,20,F,2nd,3.4,Left,51,58,42,73,73,44,63,58,52,48,63,55,66,94,22.29,28.05,25.17,24.48,Aural
721,18,M,1st,2.62,Balanced,46,63,34,55,40,42,62,60,39,50,73,52,50,48,23.61,21.64,26.06,28.69,Kinesthetic
722,22,M,2nd,3.21,Right,74,74,42,69,61,47,75,61,37,46,47,36,94,97,28.62,26.31,25.78,19.29,Visual
723,25,M,4th,3.63,Right,55,57,55,51,56,33,57,39,43,42,59,36,82,56,28.47,24.29,23.27,23.98,Visual
724,20,F,1st,3.11,Balanced,46,74,38,63,48,32,69,77,62,62,54,32,88,43,24.64,21.45,31.52,22.39,Read/Write
